Section,Parameter,Message Type,Control Number,Range,Default,Notes,,,,,,
Mod Matrix,mod matrix 4 depth,NRPN,1:101,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 4 destination,NRPN,1:102,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 5 source 1,NRPN,1:103,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 5 source 2,NRPN,1:104,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 5 depth,NRPN,1:106,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 5 destination,NRPN,1:107,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 6 source 1,NRPN,1:108,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 6 source 2,NRPN,1:109,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 6 depth,NRPN,1:111,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 6 destination,NRPN,1:112,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 7 source 1,NRPN,1:113,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 7 source 2,NRPN,1:114,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 7 depth,NRPN,1:116,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 7 destination,NRPN,1:117,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 8 source 1,NRPN,1:118,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 8 source 2,NRPN,1:119,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 8 depth,NRPN,1:121,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 8 destination,NRPN,1:122,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 9 source 1,NRPN,1:123,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 9 source 2,NRPN,1:124,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 9 depth,NRPN,1:126,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 9 destination,NRPN,1:127,0:17,0,See Mod Matrix Table,,,,,,
